Mapped Region,Geographical Region,Institution(s),Contributor Name(s),Type of Data,Reference
Southeast Asian Archipelago,"Indonesia - Gili Islands, West Nusa Tenggara Province","COREMAP, Coral Triangle Initiative (CTI), Lembaga Ilmu Pengetahuan Indonesia (LIPI)",Suharti (2014),Published paper or report,"Suharti, S. (2014). Baseline Survey Kesehatan Terumbu Karang Dan Ekosistem Terkait Di Taman Wisata Perairan Gili Matra. CRITC COREMAP - CTI LIPI, Jakarta, Indonesia."
Southeast Asian Archipelago,"Indonesia - Pulau Pieh, W Sumatra Province","COREMAP, Coral Triangle Initiative (CTI), Lembaga Ilmu Pengetahuan Indonesia (LIPI)",Abrar (2014),Published paper or report,"Abrar, M. (2014). Laporan Monitoring (Baseline) Kesehatan Ekosistem Terumbu Karang & Ekosistem Terkait Lainnya Taman Wisata Perairan Pulau Pieh Dan Laut Di Sekitarnya, Provinsi Sumatera Barat. CRITC COREMAP - CTI LIPI, Jakarta, Indonesia."
Southeast Asian Archipelago,"Indonesia - North Nias, North Sumatra Province","COREMAP, Coral Triangle Initiative (CTI), Lembaga Ilmu Pengetahuan Indonesia (LIPI)",Siringoringo (2014),Published paper or report,"Siringoringo, R. M. (2014). Monitoring Esehatan Terumbu Karang dan Kesehatan Kosistem Terkait di Kabupaten Nias Utara. CRITC COREMAP - CTI LIPI, Jakarta, Indonesia."
Southeast Asian Archipelago,"Indonesia - Sangihe and Talaud Islands, North Sulawesi",The Nature Conservancy Indonesia,Mous & DeVantier (2001),Published paper or report,"Mous, P. J. & DeVantier L. M. (2001). Rapid Ecological Assessment of the Sangihe-Talaud Islands, North Sulawesi, Indonesia, April-May, 2001. The Nature Conservancy - Southeast Asia Center for Marine Protected Areas, Sanur, Bali, Indonesia."
Southeast Asian Archipelago,"Indonesia - Tidore Island, North Maluku Province","CRITC-Pusat Penelitian Oseanografi, Lembaga Ilmu Pengetahuan Indonesia (LIPI)",Giyanto (2012),Published paper or report,"Giyanto (2012). Ekosistem pesisir Ternate, Tidore dan Sekitarnya, Provinsi Maluku Utara. CRITC-Pusat Penelitian Oseanografi LIPI, Jakarta, Indonesia."
Southeast Asian Archipelago,"Indonesia - Wakatobi, SE Sulawesi Province","COREMAP, Coral Triangle Initiative (CTI), Lembaga Ilmu Pengetahuan Indonesia (LIPI)",Budiyanto (2008),Published paper or report,"Budiyanto, S. A. (2008). Studi Baseline Terumbu Karang Di Lokasi Dpl Kabupaten Wakatobi. CRITC COREMAP - CTI LIPI, Jakarta, Indonesia."
Southeast Asian Archipelago,"Indonesia - Sangihe and Talaud Islands, North Sulawesi",The Nature Conservancy Indonesia,Mous (2002),Published paper or report,"Mous, P. J. (2002). Report on a rapid ecological assessment of the Banda Islands, Maluku, Eastern Indonesia, held April 28 – May 5 2002. The Nature Conservancy - Southeast Asia Center for Marine Protected Areas, Sanur, Bali, Indonesia."
Southeast Asian Archipelago,"Indonesia, Pari Island","Department Marine Science, Faculty of Agriculture, Bengkulu University, Indonesia",Anggoro et al. (2018),Published paper or report,"Anggoro, A., Sumartono, E., Siregar, V. P., Agus, S. B., Purnama, D., Supriyono, S., Puspitosari, D. A., Listyorini, T., Sulistyo, B. & Parwito, P. (2018). Comparing Object-based and Pixel-based Classifications for Benthic Habitats Mapping in Pari Islands. In (Vol. 1114): Institute of Physics Publishing. http://doi:10.1088/1742-6596/1114/1/012049"
Southeast Asian Archipelago,"Indonesia - Kaledupa Island, Wakatobi National Park","Graduate School of Coastal and Marine Resources Management, Faculty of Fisheries and Marine Sciences, Bogor Agricultural University, Indonesia",Azhar et al. (2019),Published paper or report,"Azhar, A., Damar, A., Bengen, D. G., & Atmadipoera, A. S. (2019). Shallow water marine habitat mapping of Kaledupa Island using integrating tradisional ecological knowledge and multispectral image classification. In (Vol. 241): Institute of Physics Publishing. http://doi:10.1088/1755-1315/241/1/012038"
Southeast Asian Archipelago,"Indonesia - Kapoposang Island, South Sulawesi Province","Department of Marine Science, Faculty of Marine Science and Fisheries, Hasanuddin University, Makassar, Sulawesi Selatan, Indonesia",Faizal et al. (2019),Published paper or report,"Faizal, A., Raazy, A. F., & Rasyid, A. (2019). Analysis of coral reef benthic cover changes around Kapoposang Island, Pangkep Regency, South Sulawesi using multioral remote sensing imagery. IOP Conference Series: Earth and Environmental Science, 370(1). https://doi.org/10.1088/1755-1315/370/1/012021"
Southeast Asian Archipelago,"Indonesia - Gili Trawangan, Gili Meno, and Gili Air","Graduate School of Science and Engineering, Yamaguchi University, Japan",Manessa et al. (2014),Published paper or report,"Manessa, M. D. M., Kanno, A., Sekine, M., Ampou, E. E., Widagti, N., & As-syakur, A. R. (2014). Shallow-Water Benthic Identification Using Multispectral Satellite Imagery: Investigation on the Effects of Improving Noise Correction Method and Spectral Cover. Remote Sensing, 6(5), 4454-4472. https://doi.org/10.3390/rs6054454"
Southeast Asian Archipelago,Indonesia - Kotok Island and Karang Bongkok,"Department of Marine Science and Technology, Faculty of Fisheries and Marine Science, Bogor Agricultural University, Indonesia",Manuputty et al. (2017),Published paper or report,"Manuputty, A., Gaol, J. L., Agus, S. B., & Nurjaya, I. W. (2017). The utilization of Depth Invariant Index and Principle Component Analysis for mapping seagrass ecosystem of Kotok Island and Karang Bongkok, Indonesia. In (Vol. 54): Institute of Physics Publishing. http://doi:10.1088/1755-1315/54/1/012083"
Southeast Asian Archipelago,"Indonesia - Suranti Island, Spermonde Archipelago","Marine Science Department, Hasanuddin University, Indonesia",Nurdin et al. (2015),Published paper or report,"Nurdin, N., Komatsu, T., Agus, Akbar As, M., Djalil, A. R., & Amri, K. (2015). Multisensor and multitemporal data from Landsat images to detect damage to coral reefs, small islands in the Spermonde archipelago, Indonesia. Ocean Science Journal, 50(2), 317-325. https://doi.org/10.1007/s12601-015-0029-x"
Southeast Asian Archipelago,"Indonesia - Libukang Island, Malasoro Bay","Agency for Marine and Fisheries Research and Human Resources Ministry of Marine Affairs and Fisheries, Indonesia",Setyawidati et al. (2017),Published paper or report,"Setyawidati, N., Kaimuddin, A. H., Wati, I. P., Helmi, M., Widowati, I., Rossi, N., Liabot, P. O., & Stiger-Pouvreau, V. (2017). Percentage cover, biomass, distribution, and potential habitat mapping of natural macroalgae, based on high-resolution satellite data and in situ monitoring, at Libukang Island, Malasoro Bay, Indonesia. Journal of Applied Phycology, 30(1), 159-171. https://doi.org/10.1007/s10811-017-1208-1"
Southeast Asian Archipelago,"Indonesia - Ekas Bay, Lombok","Agency for Marine and Fisheries Research and Human Resources Ministry of Marine Affairs and Fisheries, Indonesia",Setyawidati et al. (2018),Published paper or report,"Setyawidati, N. A. R., Puspita, M., Kaimuddin, A. H., Widowati, I., Deslandes, E., Bourgougnon, N., & Stiger-Pouvreau, V. (2018, Jun). Seasonal biomass and alginate stock assessment of three abundant genera of brown macroalgae using multispectral high resolution satellite remote sensing: A case study at Ekas Bay (Lombok, Indonesia). Mar Pollut Bull, 131(Pt B), 40-48. https://doi.org/10.1016/j.marpolbul.2017.11.068"
Southeast Asian Archipelago,Indonesia - North Kepulauan Seribu,"Department of Marine Science and Technology, Bogor Agricultural University, Indonesia",Siregar et al. (2018),Published paper or report,"Siregar, V. P., Agus, S. B., Subarno, T., & Prabowo, N. W. (2018). Mapping shallow waters habitats using OBIA by applying several approaches of depth invariant index in North Kepulauan Seribu. In Syartinilia (Ed.), 4th International Symposium on Lapan-Ipb Satellite for Food Security and Environmental Monitoring (Vol. 149). https://doi.org/10.1088/1755-1315/149/1/012052"
Southeast Asian Archipelago,Indonesia - Harapan and Kelapa Islands,"Department of Marine Science and Technology, Faculty of Fisheries and Marine Sciences, Bogor Agricultural University, Indonesia",Siregar et al. (2018),Published paper or report,"Siregar, V. P., Prabowo, N. W., Agus, S. B., & Subarno, T. (2018). The effect of atmospheric correction on object based image classification using SPOT-7 imagery: A case study in the Harapan and Kelapa Islands. In (Vol. 176): Institute of Physics Publishing. http://doi:10.1088/1755-1315/176/1/012028"
Southeast Asian Archipelago,"Indonesia - Sebaru Besar Island, Kepulauan Seribu","Department of Marine Science and Technology, Faculty of Fisheries and Marine Sciences, IPB University, Indonesia",Siregar et al. (2020),Published paper or report,"Siregar, V. P., Agus, S. B., Sunuddin, A., Pasaribu, R. A., Sangadji, M. S., Sugara, A., & Kurniawati, E. (2020). Benthic habitat classification using high resolution satellite imagery in Sebaru Besar Island, Kepulauan Seribu. IOP Conference Series: Earth and Environmental Science, 429, 012040. https://doi.org/10.1088/1755-1315/429/1/012040"
Southeast Asian Archipelago,Indonesia - Natuna Islands,"Research Centre for Oceanography – Indonesian Institute of Sciences (LIPI) , Indonesia",Suyarso et al. (2020),Published paper or report,"Suyarso, Ulumuddin, Y. I., & Prayudha, B. (2020). Mapping of coral reef ecosystem in the Natuna Islands using ALOS imagery."
Southeast Asian Archipelago,"Indonesia - Bontosua Island, Spermonde Archipelago","Department of Marine Science, Faculty of Marine Science and Fisheries, Universitas Hasanuddin, Indonesia",Thalib et al. (2019),Published paper or report,"Thalib, M. S., Faizal, A., & La Nafie, Y. A. (2019). Remote Sensing Analysis of Seagrass Beds in Bontosua Island, Spermonde Archipelago. IOP Conference Series: Earth and Environmental Science, 253. https://doi.org/10.1088/1755-1315/253/1/012047"
Southeast Asian Archipelago,Indonesia - Kemujan Island,"Cartography and Remote Sensing, Department of Geographic Information Science, Faculty of Geography, Universitas Gadjah Mada, Indonesia","Wicaksono, P. (2017)",Published paper or report,"Wicaksono, P. (2017). Improving the accuracy of Multispectral-based benthic habitats mapping using image rotations: the application of Principle Component Analysis and Independent Component Analysis. European Journal of Remote Sensing, 49(1), 433-463. https://doi.org/10.5721/EuJRS20164924"
Southeast Asian Archipelago,Indonesia - Kemujan Island,"Department of Geographic Information Science, Faculty of Geography, Universitas Gadjah Mada, Indonesia",Wicaksono et al. (2019),Published paper or report,"Wicaksono, P., Aryaguna, P. A., & Lazuardi, W. (2019). Benthic Habitat Mapping Model and Cross Validation Using Machine-Learning Classification Algorithms. Remote Sensing, 11(11). https://doi.org/10.3390/rs11111279"
Southeast Asian Archipelago,"Indonesia - Pangkajene and Kepulauan Regency, Spermonde Archipelago","Graduate School of Environmental Science, Hokkaido University, Japan",Yasir Haya et al. (2017),Published paper or report,"Yasir Haya, L. O. M., & Fujii, M. (2017). Mapping the change of coral reefs using remote sensing and in situ measurements: a case study in Pangkajene and Kepulauan Regency, Spermonde Archipelago, Indonesia. Journal of Oceanography, 73(5), 623-645. https://doi.org/10.1007/s10872-017-0422-4"
Southeast Asian Archipelago,"Indonesia - Sekupang Waters, Batam Island","Politeknik Negeri Batam, Indonesia",Lubis et al. (2018),Published paper or report,"Lubis, M. Z., Anurogo, W., Hanafi, A., Kausarian, H., Taki, H. M., & Antoni, S. (2018). Distribution of benthic habitat using Landsat-7 Imagery in shallow waters of Sekupang, Batam Island, Indonesia. Biodiversitas Journal of Biological Diversity, 19(3), 1117-1122. https://doi.org/10.13057/biodiv/d190346"
Southeast Asian Archipelago,"Indonesia - Unggeh Island, Central Tapanuli Regency","Department of Aquatic Resources Management, Universitas Sumatera Utara, Indonesia",Harahap et al. (2019),Published paper or report,"Harahap, Z. A., Gea, Y. H., & Susetya, I. E. (2019). Relationship between coral reef ecosystem and coral fish communities in Unggeh Island Central Tapanuli Regency. In (Vol. 260, pp. 012113). http://doi:10.1088/1755-1315/260/1/012113"
Southeast Asian Archipelago,Indonesia - Jakarta Bay-Pulau Seribu reef complex,"Departamento de Biologia, CESAM – Centro de Estudos do Ambiente e do Mar, Universidade de Aveiro, Portugal",Cleary et al. (2008),Published paper or report,"Cleary, D. F. R., De Vantier, L., Giyanto, Vail, L., Manto, P., de Voogd, N. J., Rachello-Dolmen, P. G., Tuti, Y., Budiyanto, A., Wolstenholme, J., Hoeksema, B. W., & Suharsono. (2008). Relating variation in species composition to environmental variables: a multi-taxon study in an Indonesian coral reef complex. Aquatic Sciences, 70(4), 419-431. https://doi.org/10.1007/s00027-008-8077-2 "
Southeast Asian Archipelago,Cocos (Keeling) Islands,"Millennium Coral Reef Mapping Project, Institute for Marine Remote Sensing, University of South Florida (IMaRS/USF) and Institut de Recherche pour le Développement (IRD/UR 128, Centre de Nouméa).",Serge Andréfouët et al.,Existing point data,"Andrefouet, S., Muller-Karger, F. E., Robinson, J. A., Kranenburg, C. J., Torres-Pulliza, D., Spraggins, S. A., & Murch, B. (2006, June). Global assessment of modern coral reef extent and diversity for regional science and management applications: a view from space. In Proceedings of the 10th International Coral Reef Symposium (Vol. 2, pp. 1732-1745). Japanese Coral Reef Society Okinawa, Japan."
Southeastern Asia,Malaysia,Heriot-Watt University,Dr Oscar Crehan,Existing point data,"Crehan, O., Mair, J., Yii, S. H., Mohd Safuan, C. D., & Bachok, Z. (2019). Effect of Tourism and Sedimentation on Coral Cover and Community Structure. Tropical Life Sciences Research, 30(2), 149-165. https://doi.org/10.21315/tlsr2019.30.2.12"
Southeastern Asia,Vietnam - Nha Trang Bay,Samara State University of Social Science and Education/Vietnam-Russian Tropical Scientific Research and Technological Center,Konstantin S. Tkachenko,Existing point data,"Tkachenko, K. S., Huan, N. H., Thanh, N. H., & Britayev, T. A. (2020). Extensive coral reef decline in Nha Trang Bay, Vietnam: Acanthaster planci outbreak: the final event in a sequence of chronic disturbances. Marine and Freshwater Research. https://doi.org/10.1071/mf20005 
 
 Tkachenko, K. S., Britayev, T. A., Huan, N. H., Pereladov, M. V., & Latypov, Y. Y. (2016). Influence of anthropogenic pressure and seasonal upwelling on coral reefs in Nha Trang Bay (Central Vietnam). Marine Ecology, 37(5), 1131-1146. https://doi.org/10.1111/maec.12382"
Southeastern Asia,Cambodia,Fauna & Flora International,"Andy Cameron, Indra, Rakhmat Dirgantara, Henry Duffy",Existing point data,These data were contributed by Fauna & Flora International.
Southeastern Asia,Vietnam,"Institute of Oceanography, Vietnam Academy of Science and Technology","Vo Si Tuan, Phan Kim Hoang, Nguyen Van Long, Thai Minh Quang",Existing point data,"Vo, S. T., Phan, K. H., Hua, T. T., Thai, M. Q., & Hoang, X. B. (2020). Genus-specific bleaching at Con Dao Islands, Southern Vietnam, June 2019. Galaxea, Journal of Coral Reef Studies, 22(1), 27-28. https://doi.org/10.3755/galaxea.22.1_27

Phan, K. H., Vo, S. T., Thai, M. Q., Dao, T. H., & Hua, T. T. (2021). Bleaching of coral in Nha Trang, Ninh Thuan, Con Dao and Phu Quoc islands in June–July 2019. Vietnam Journal of Marine Science and Technology, 20, 55-60. https://doi.org/10.15625/1859-3097/15649

Vo, S. T., Hua, T. T., & Phan, K. H. (2019). A study of coral reef resilience and implications of adaptive management and rehabilitation in Khanh Hoa Province, Vietnam. Acta Oceanologica Sinica, 38(1), 112-117. https://doi.org/10.1007/s13131-019-1377-7

Kimura, T., Tun, K., & Chou, L. M. (2018). Status of coral reefs in East Asian Seas Region: 2018. Ministry of the Environment of Japan and Japan Wildlife Research Center, Tokyo, Japan, 58 

Nguyen, V. L., & Vo, S. T. (2014). Status of Coral Reefs in East Asian Seas Region, Vietnam. Ministry of Environment and Wildlife Research Center, Tokyo, Japan, 187-216

Long, N. V., Vo, S. T., & Hoang P. K. (2013). Temporal change in coral cover and resilience of coral communities in Nuichua marine protected area. Science and Technology Journal of Agriculture & Rural Development, 218-223. (in Vietnamese)

Vo, S. T. (2011). Biodiversity dynamics of coral reefs in Nha Trang Bay and management measures. In: Proceeding of the 5th National Conference on Marine Science and Technology, Session of Biology and Marine Resources (in Vietnamese). Ha Noi: Publishing House of Natural Science and Technology, 29-39

Long, N. V, Ben, H. X., Hoang, P. K., & Tuyen, H. T. (2010). Biodiversity dynamics trend of coral reefs in Phuquoc Marine Protected Area. National conference of marine science and technology. Biological committee, 1-39 pp. (in Vietnamese)"
